,0,1,2
0,비보호 좌회전 과실비율 여쭤봅니다. (제가 비보호좌회전 차량),/qna/detail.nhn?d1id=10&dirId=100602&docId=298558446,"안녕하세요?최근 저의 비보호좌회전으로 반대편 2차로에서 오던 택시와 사고가 났습니다.그래서 여러 사례들을 찾아보았는데 (네이버/구상금분쟁심의위원회의 비율 예시 플래시 등등)저와 같은 사례는 찾기가 어렵더라고요.상황은 이렇습니다.1. 삼거리였음(ㅓ 자형)2. 양쪽 방향 차들 다 빨간불 신호대기3. 비보호좌회전하기 위해 깜빡이 켜고 신호대기 (앞에 경차 1대 있음)4. 초록불로 바뀜5. 제 앞의 경차 1대 깜빡이켜고 비보호좌회전6. 저도 깜빡이켜고 따라서 비보호좌회전제가 진입한 이유는 반대편 1차로 차는 느리게 오고 있었고신호가 바뀐 지 얼마 안 됐기 때문에 후딱 지나가려고 했습니다.제가 비보호좌회전 하면서 반대편 1차로 진입할 때반대편 2차로에 있던 택시는 빠르게 달려옵니다.(반대편 1차로 차는 본인 앞의 횡단보도도 다 안 밟음, 신호 받고 출발하던 차라 빨라봤자 얼마 안 될 것 같습니다)그대로 쾅했습니다.택시는 제 차 오른쪽 뒷바퀴쪽을 박았고 180도 뺑 돌았습니다.그 차는 쭉 나가 있었고요.택시는 왼쪽 범퍼만 너덜너덜하네요.아까 보험사에서 전화가 왔는데택시 보험사에서는 9:1을 얘기했고제 보험사는 8:2를 얘기한다고 합니다.여기서 좀 이해가 안 가는 이유는1. 둘 다 신호받고 막 움직이던 차였다.2. 그 차는 제가 진입하는 걸 봤으면서 속도를 하나도 줄이지 않았다.그래서 7:3을 예상했는데 9:1을 요구한다는 게 조금 황당하거니와제 보험사에서도 8:2를 요구한다는게 이해가 가지 않습니다.제가 지식과 경험이 부족해서 이해를 못 하는 건지제 말이 맞아 제 보험사보고 상대방에게 7:3을 요구하라고 해도 되는 건지 궁금합니다.글로 써서 이해하시기 힘드실 것 같네요. 죄송합니다.답변 부탁드립니다."
1,양띵님 유튜브 영상 몇개 왜 없어졌나요? 예전에 본 영상들이 몇개 없어져서요... 아오오니 쯔꾸르 영상이랑,/qna/detail.nhn?d1id=10&dirId=100404&docId=298558426,양띵님 유튜브 영상 몇개 왜 없어졌나요?예전에 본 영상들이 몇개 없어져서요...아오오니 쯔꾸르 영상이랑집짓기 영상인데 아마 양띵님은 그때 삼식님이랑 팀하고ㄴㄱ카페 만들었을거에요그 외에도 몇개 없어진거 좀 있는것같은데이유가 뭔가요??
2,MAYA 튜토리얼 추천해주세요,/qna/detail.nhn?d1id=10&dirId=100602&docId=298558288,유튜브나 아닌 다른곳 영상강의좀 추천해주세요학원 & 유료인강말구요
3,"제가 지금 명지대자캠 재학중이거든요 근데 작년 수시등급으로 광운, 세종이나 성신여대 넣어서 반수하려고 하는데",/qna/detail.nhn?d1id=10&dirId=1006&docId=298557831,"제가 지금 명지대자캠 재학중이거든요 근데 작년 수시등급으로 광운, 세종이나 성신여대 넣어서 반수하려고 하는데 어떤가요? 수시등급은 2.1정도에요"
4,"자전거 루트, 속도분석, 고도분석 홈페이지 어플이 궁금합니다",/qna/detail.nhn?d1id=10&dirId=100501&docId=298557689,대체 무슨 홈페이지 일까요? 혹은 어플인가요?
5,베드민턴이 키가클수록 유리한거겠죠?,/qna/detail.nhn?d1id=10&dirId=100109&docId=298557528,베드민턴은 키가 작을수록 높이오는공을 못치고 클수록 더 유리해져서 잘칠수있겠죠?
6,자전거 타이어 사이즈,/qna/detail.nhn?d1id=10&dirId=100501&docId=298557393,자전거타이어 튜브를 매장가서 구매하려고 합니다.타이어에 50-559 (26X1.95) 2.5-4.5 bar 35-65 psi 라고 적혀있는데 무슨 뜻이며 사이즈는 어떤걸로 달라해야하나요
7,볼링공 이름이 알고싶어요!,/qna/detail.nhn?d1id=10&dirId=100109&docId=298557299,볼링공이 있는데 무게추나 공 정보가 궁금해서 찾아보려는데공 이름을 모르겠어요...찾아보니 보라색은 track 회사 꺼고고동색은 콜롬비아 퀘이크 크리미코어? 인거 같은데보라색 이름이 더 궁금합니다.
8,겨루기 커트발 질문이요!! 1: 겨루기할때 커트발 연습하는법!! 아예 초보들 연습방법부터 숙련자까지!! 2:,/qna/detail.nhn?d1id=10&dirId=100401&docId=298557148,겨루기 커트발 질문이요!!1: 겨루기할때 커트발 연습하는법!!아예 초보들 연습방법부터 숙련자까지!!2: 겨루기할때 커트발 대처법!!몇가지 부탁드릴께요내곤 100겁니당
9,안녕하세요! 5월 중순 아들의 스몰웨딩이 있어서 의상을 준비하려고 하는데요. 속풀이쇼 동치미 275회 최은경,/qna/detail.nhn?d1id=10&dirId=1003&docId=298557089,"안녕하세요! 5월 중순 아들의 스몰웨딩이 있어서 의상을 준비하려고 하는데요. 속풀이쇼 동치미 275회 최은경의 의상이 눈에 띄네요. 메이커좀 알려주시고요.그밖에, 60세인데 그에 맞는 의상 대여 하는곳이나,스몰웨딩에 어울리는 메이커좀 알려주세요.감사합니다."
