,0,1,2
0,내일배움카드 질문,/qna/detail.nhn?d1id=6&dirId=6080401&docId=298553892,제가 인문고다니다가 3학년 위탁을 진학했는대 다른애들과 달리공고로 위탁을가서 나라배움카드도 신청안했고 월마다 돈도 안들어왔어요지금 나라배움카드 신청할수있나요?그리고 워크넷 구직등록이랑 구직신청이랑 같은말인가요?같은말이 아니면 구직등록 하는법좀 가르쳐주세요
1,무료 민원서류 발급 방법 어떤 서류들이 무료인가요? 가족관계증명서 주민등록초등본 인감증명서 기번증명서 이런것,/qna/detail.nhn?d1id=6&dirId=6010103&docId=298553881,무료 민원서류 발급 방법어떤 서류들이 무료인가요?가족관계증명서주민등록초등본인감증명서기번증명서 이런것들이 다 되나요?공인인증서만 있으면?
2,공사를 하면서 남의집 담을 마음대로 허물겠다고 하네요..,/qna/detail.nhn?d1id=6&dirId=60202&docId=298383304,안녕하세요.저희집 같은 경우는 작년 7월경에 이집을 사서 이사를 왔구요. 이 전전 주인이 96년도에지었다고 하네요. 그리고 20 여년 살다가 다른사람한테 넘기고 그분도 1년여 만에 저희 한테 넘기게된건데요. 해서 여지껏 살고 있고 이번에 저희 옆집이 3집이 이사를 가면서 팔리게 되었네요.그리고 그 3 집을 하나로 묶어서 빌라를 만든다고 공사를 시작했는데요. 이사람들이 이번에 측량을하면서 저희 집 담 안쪽으로 40 센치나(평수로는 2~3평정도) 들어와서 빨간 동그라미를 그려놓은거에요.그러고선 하는말이 저희 담도 허물고 그만큼의 땅을 가져가야한다. 이렇게 나오네요.해서 저희가 처음 이 건물 지으신분 한테 연락연락을 해서 알아보니 이 건물을 올릴때 처음 96년도에측량을 할당시 동네 주민들 민원이 많아서 2번의 측량을 더 했다고 하더라구요.해서 총 3번의 측량을 했다고 하네요. 해서 측량에는 전혀 문제가 없다. 이렇게 말을 하는데요.또 이 공사 하는 업자쪽 주장은 요즘 측량은 무슨 위성으로 공중에서 하는거기때문에 요즘 측량이 더 정확하다. 이런 식으로 나오는데요. 그렇다면. 20 여년전 측량은 완전무용지물이고저희는 어딜가서 손해배상을 받아야 하나요. 이렇게 막무가네로 남의집 담을 헐겠다고 나오는데.이거 계속 담만 지키고 있을수도 없고. 근데 이게 저희 쪽 담만 걸리는게 아니라 공사하는 반대쪽 집담도 헐어야한다고 하더라구요. 그럼 이게 땅이 한쪽으로 밀린것도 아니고.이사람들은 땅을 양쪽으로 다 파먹고 들어간다고 하면 이거 정말 답답하기만 해서요..거기다가 또 이번에 그 3 집이 팔리면서 땅이 3.5평 정도가 저희집 하고 트리지는 땅이 있어서 그 땅도이번에 저희가 샀거든요.근데 이번에 이 일이 벌어지고 나서 전에 계약금까지 다 걸어놨는데 이사람들이 벌써땅을 또 안판다고 했다네요. 참..여러가지가 좀 걸리네요. 어렵겠지만 도움주실수 있으신 분들..참고로 이번에 시청하고 동사무로를 다니면서 건물 현황도를 뽑아가지고 왔는데요. 시청 도장까지찍힌걸로.. 담하고 건물하고 사이 폭이 정확하게 명시되어 있네요.  시청것도 그렇고  동사무소것도그렇고. 헌데 이 옆에 공사하는 쪽에서는 터무니 없이 남의 담을 헐고 땅을 40 센치나 가져가겠다고 하니이거 어찌 해야할지.. 해서 저희도 일단은 몇일전에 측량을 재신청을 해놓긴 했거든요.측량을 해봐야 소용이 없을것 같기도 하고.. 이거 만약 괜한 돈을 들여서 측량을 했다 치면. 이것 또한손해배상을 받을수 있는것인지..아 그리고 이게 어떤 분들은 알아보니 전에 살던 주인이 바뀌어서 시효취득 도 해당이안된다고 하는 분들도 있던데요. 이럴땐 어찌 해야하는지 답답할 뿐입니다..답변좀 부탁드립니다.
3,뉴질랜드 워크 비자 발급 문의,/qna/detail.nhn?d1id=6&dirId=6010101&docId=298553875,"안녕하세요 뉴질랜드 이민을 꿈꾸고 있는 청년입니다.많은 분들의 의견을 여쭙고자 글을 남겨봅니다.우선 저의 대한 간략한 정보는 이렇습니다.나이:29세(1990)학력:4년제 기계공학과경력:설계 경력 2년뉴질랜드 워홀 1년----------------------뉴질랜드에 계신 지인분께서 제게 페인터로 WTR 비자를 내주시려고 했으나,제가 관련 경력이 없어서 포기한 경험이 있습니다.그래서 경력을 다시 만들어서 재도전하고 싶은 상황인데,생각하고 있는 방법은 이렇습니다.1.한국에서 페인터 3년 경력을 만들어서 WTR 도전2.뉴질랜드 유학 후 잡서치 비자 받아서 1년 일한 후 워크비자 받아서 경력 쌓는 방법그 외에 한국에서 1년 경력을 받아서 워크 비자를 받을 수 있을까요?그리고 잡 오퍼는 있다는 가정하에 질문드립니다.글이 두서가 없네요..답변 부탁드립니다."
4,아동학대 신고 한 후 상담을 한 뒤에 애들은 어디로 가며 언제 돌아오나요??,/qna/detail.nhn?d1id=6&dirId=60218&docId=298553870,아동학대 신고 한 후 상담을 한 뒤에 애들은 어디로 가며 언제 돌아오나요??
5,전여자친구 강간 고소,/qna/detail.nhn?d1id=6&dirId=6020601&docId=298553855,전여자친구한테 강간으로 고소를 협박하네요;;;연애는 1년정도했고 처음으로 관계할때 여자친구가 싫다고해서 넣으려다가 안넣었습니다.;;;당연히 폭행이나 협박은 아예 전혀 없었고요그래도 여자친구는 싫다고했는데 넣으려고했었다고 울더라고요그다음날부터 10개월 가까이 매일 관계했습니다. 그러다가 생리가 늦어져서 같이 산부인과도 가고요낙태를 해야했었는데 수술전날 유산이 돼서 수술은 안했지만 그기록은 병원에 다있을겁니다.병원 CCTV에 저랑 같이간것도 있을거고요문제는 헤어지면서 그래도 첫경험은 삽입은없었는데 하지말라고했는데 하려고 했다면서 고소를 한다고합니다.그날 밤에 골목에서 키스하고 서로 성기를 애무하다가 이러지말고 모텔 가자고 해서 모텔 들어가서 서로 입으로 애무했는데 그래도 삽입은 싫다고 해서 제가 입으로 애무 다했는데 그냥 하자고 했는데 전여자친구가 절대 안 된다고 해서 안 하고 다음날부터 엄청 했습니다.증거로는 그이후에 관계하는 영상을 찍어보자며 같이 찍은영상도 있고 함께 명동에 야한이벤트옷입고 서로찍은사진도 있고요. 야한대화가 오간 카톡은 없습니다.결론적으로 첫경험때 제가 조금 강제로하려고 했으나 삽입은 없었고 그다음부터 엄청나게 많이 하다가 헤어지니 보복성으로 고소한다고 하는데 어떻게 해야하나요? 일단 고소를 하면 저는 감옥에 가야하나요?
6,"부산 장판시공 가격 13평 원룸입니다 부엌겸 거실만 장판을 교체하고싶은데 일단 방,거실 장판은 타일?처럼 조",/qna/detail.nhn?d1id=6&dirId=60202&docId=298553847,"부산 장판시공 가격13평 원룸입니다부엌겸 거실만 장판을 교체하고싶은데 일단 방,거실 장판은 타일?처럼 조각조각인데 개를 키우다보니 대소변 실수를 하면 틈사이에 들어가서 냄새땜에 죽겟네요 일반장판인 집에서 살땐 실수해도 닦으면 냄새가 나진 않앗었는데... 이런 장판은 처음인지라..거실에만 실수해서 그것도 특정부위에만 계속... 가격견적 한번 뽑아주세요 강아지 키우는집은 어떤장판이 괸찮나요?그리고 월세집인데 들어올당시 도배장판 집주인이 새로 해주신게 아닙니다 일단 1년계약햇는데 집주인분은 오래살아주심 좋다라는 뜻을 항상 말하시던데.. 장판 교체 가격을 제가 반 을 요구해도 되나요? 이사올당시 장판이 훼손,오염 된 부분이 많앗지만 개키우는걸 허락해주셔서 저도 장판가지고 더 말 안햇는데.."
7,건축주와 소유주 용어 설명에 대해 자세히 설명해주세요,/qna/detail.nhn?d1id=6&dirId=60103&docId=298553837,"건축물대장 뽑으면 건축주, 설계자, 공사감리자, 소유자 이렇게 나오는데건축주의 정확한 의미를 알고 싶습니다."
8,다방들어가면처벌받나요,/qna/detail.nhn?d1id=6&dirId=6020601&docId=298553831,다방들어가면처벌받나요
9,딸 초등학교 입학문제입니다.,/qna/detail.nhn?d1id=6&dirId=6130105&docId=298553830,제 딸이 어린이집 다니고 있는데요. 제가 부모님 일을 돕느라 가족모두 아이의 조부모가 계신 서초에서 같이 살고 있는데 주소지는 종로쪽에 되어있네요. 나중에 초등학교 입학할때 지금 사는곳 바로 앞에 초등학교가 있는데 거기 보낼순 없나요? 딸만 주소지를 옮길수 있는지 아니면 보호자도 옮겨야 하는지 궁금하네요.
