,0,1,2
0,이 신발 이름이 뭔가요 ㅠㅠ?? 어떤 시리즈? 라인? 인지 궁금합니다.,/qna/detail.nhn?d1id=5&dirId=5040202&docId=298559019,이 신발 이름이 뭔가요 ㅠㅠ??어떤 시리즈? 라인? 인지 궁금합니다.
1,나이키vs아디다스 (반팔),/qna/detail.nhn?d1id=5&dirId=504&docId=298559000,어느브랜드로 살까요?
2,이자켓 어디껀지 알수있을까요,/qna/detail.nhn?d1id=5&dirId=50401&docId=298558972,이자켓 어디껀지 알수있을까요
3,이쁜 스트릿브랜드 오버핏으로 프린팅티셔츠 추천,/qna/detail.nhn?d1id=5&dirId=5040102&docId=298558952,이쁜 스트릿브랜드 오버핏으로 프린팅티셔츠 추천이요
4,믿고 쓰는 루헨스 공기청정기 추천~~,/qna/detail.nhn?d1id=5&dirId=50104&docId=298558942,"요즘 미세먼지 때문에 공기청정기 24시가 켜놓고 생활하고 있어요얼마 전에 렌탈한 루헨스 공기청정기 힐링 사용 중인데2017년 고객 브랜드 대상, 4년 연속 정수기 부분 대상 수상한 브랜드라 그런지 더욱 마음이 놓여요 ㅎㅎ미세먼지 때문에 공기청정기 렌탈 고민하시는 분들이라면미세먼지 뿐만 아니라 극초 미세먼지까지 제거해주는 루헨스 공기청정기 힐링 추천해요"
5,칼하트포켓반팔티 남자 183/82 인데 사이즈M 괜찮을까요??ㅠㅠ,/qna/detail.nhn?d1id=5&dirId=5040102&docId=298558929,칼하트포켓반팔티 남자 183/82 인데 사이즈M 괜찮을까요??ㅠㅠ
6,주방천연세제 다똑같지않네요,/qna/detail.nhn?d1id=5&dirId=50503&docId=298558895,주방천연세제 여러가지 써봤는데 나중에 알고 보니까 성분도 되게 다르고 어떤거는 안좋은 것도 들어가있더라구요. 주방천연세제는 다 비슷비슷한 줄알았는데 아니네요ㅜㅜ애들 있는 집에서 안전하게 쓸만한 주방천연세제는 어떤거 보고 골라야할까요?
7,제폰 갤럭시 그랜드맥스( lg)에 개통이 되있는데 제가 요번에 같은통신사인 갤럭시노트5 (lg) 를 중고로,/qna/detail.nhn?d1id=5&dirId=5010602&docId=298558891,제폰 갤럭시 그랜드맥스( lg)에 개통이 되있는데 제가 요번에 같은통신사인 갤럭시노트5 (lg) 를 중고로 샀습니다.그랜드맥스에 박혀있는 유심칩을 갤럭시노트5에 넣으려는데 갤노트5에는 어디다 유심꽃는지도 모르겠고만약에 넣어도 갤럭시노트5에서 통화나 데이터사용이 가능할지 모르겠네요.도와주세요
8,아마존에서 라인 모바일이 왔는데 뭔가요...?,/qna/detail.nhn?d1id=5&dirId=512&docId=298558867,배대지에 있는데 이게 뭔제품인가요?신청한적도 없고 구매한적도없고 하다못해 검색조차 안해본 물건이 왔으니 인수신청하라는데뭐 알아야 인수신청하잖아요.검색해보니까 라인 sim칩?비스무레한거같은데뭐 갖고만 있어도 돈내야하는 그런건가요?
9,처음 입문하게된 베가 전자담배에 관련된질문인데요.. 일반 스마트폰 충전기를 꼽앗는데 시간 지나니깐 충전단자쪽,/qna/detail.nhn?d1id=5&dirId=501&docId=298558844,처음 입문하게된 베가 전자담배에 관련된질문인데요..일반 스마트폰 충전기를 꼽앗는데 시간 지나니깐 충전단자쪽이 좀 뜨거워지는데 원래 그런지 궁금하네요..약간 뜨거운 상태에서 사용해도 괜찮나요?
10,이 가방 브랜드 아시는분있나요?,/qna/detail.nhn?d1id=5&dirId=5040201&docId=298558840,이 가방 브랜드 아시는분있나요?
11,포항 점 잘 빼는 피부과,/qna/detail.nhn?d1id=5&dirId=508&docId=298558839,포항 점 잘 빼는 피부과 좀 알려주세요.어릴 때 수두자국으로 엄지손톱만한 옅은 점이 있는데 점 색이 진해지면 한번씩 빼주는데포항에 온지 얼마 안되어서 아무 병원이나 못 가겠는데 추천 좀 해주세요~포항 남구쪽으로 추천 부탁드립니다.
12,풍경 및 별 사진 촬영용 카메라와 렌즈 추천,/qna/detail.nhn?d1id=5&dirId=50102&docId=298558720,풍경 및 별 사진 촬영용 카메라와 렌즈 추천 및 질문 때문에 문의드립니다.이번에 큰맘먹고 카메라 하나를 장만하려고 하는데요.풍경과 별사진에 초점을 두려고 합니다.200~300으로 쓸만한 것 추천좀 부탁드립니다.아니면 더 낮은 기종이라도 가성비가 좋으면 추천부탁드립니다!
13,아이폰 6s 공기계 대리점 판매,/qna/detail.nhn?d1id=5&dirId=50101&docId=298558712,대리점에다가 팔면 어느정도 주나요??
14,이건 접지선이 없는것인가요??,/qna/detail.nhn?d1id=5&dirId=50206&docId=298558699,이건 접지선이 없는것인가요??
