,0,1,2
0,아이폰 배터리 광탈인가요?,/qna/detail.nhn?d1id=1&dirId=1070401&docId=298552141,아이폰 배터리 광탈인가요?
1,사진속 여자 누구인가요 sns스타 인지는 모르겠네요 사진도 이거뿐이고,/qna/detail.nhn?d1id=1&dirId=10612&docId=298552131,사진속 여자 누구인가요sns스타 인지는 모르겠네요사진도 이거뿐이고
2,이분 핫샷 최준혁이에요 아니면 아이콘 구준회에요? 핫플인 친구는 최준혁이라고 하고 아이코닉인 친구는 구준회라,/qna/detail.nhn?d1id=1&dirId=10701&docId=298552111,이분 핫샷 최준혁이에요 아니면 아이콘 구준회에요?핫플인 친구는 최준혁이라고 하고 아이코닉인 친구는 구준회라고 하는데... 전 최준혁 같기는 한데 좀 헷갈려서요
3,롤하다가 핑이 너무튀어서 질문합니다 울산시 북구 진장 13-1길입니다 인터넷 대칭형가능할까요? 또 제가 원룸,/qna/detail.nhn?d1id=1&dirId=10802&docId=298552106,롤하다가 핑이 너무튀어서 질문합니다울산시 북구 진장 13-1길입니다 인터넷 대칭형가능할까요?또 제가 원룸살고있는대 대칭형변경시에도 주인한테 알리고 변경을 하여야 하나요?
4,집에 와이파이 랜선 코드가 없는데 어떻게 해야 하죠? 원래 이사올때부터 없었습니다,/qna/detail.nhn?d1id=1&dirId=10801&docId=298552093,집에 와이파이 랜선 코드가 없는데 어떻게 해야 하죠?원래 이사올때부터 없었습니다
5,Live10. 탈퇴하는법좀 갈쳐주세요,/qna/detail.nhn?d1id=1&dirId=110&docId=298552089,Live10. 탈퇴하는법좀 갈쳐주세요
6,엑셀 차트 작성시 계열 이름 편집 제가 범례에 나오는 이름을 편집하고 싶어서 범례-데이터 선택-계열-편집을,/qna/detail.nhn?d1id=1&dirId=102020101&docId=298552074,엑셀 차트 작성시 계열 이름 편집제가 범례에 나오는 이름을 편집하고 싶어서범례-데이터 선택-계열-편집을 눌러가지고b5:c5(셀 병합)에 있는 2018/04/03에 연도만 빼서 범례이름으로 작성하고 싶은제요.사진을 보면 안되네요. 왜 그런건가요?
7,안녕하세요 저는 스물일곱 된 남자입니다 최근에 고민이 생겨서 이렇게 글 남겨봅니다 제가 진심으로 사랑하는 여,/qna/detail.nhn?d1id=1&dirId=113&docId=298551978,안녕하세요저는 스물일곱 된 남자입니다최근에 고민이 생겨서 이렇게 글 남겨봅니다제가 진심으로 사랑하는 여자친구가 생겼습니다. 그녀도 절 사랑해주었구요 그런데 제가 말다툼중에 그녀에게 상처받을 말을 한겁니다.. 그녀는 상처받아서 헤어지자 했구요하지만 그녀가 기회를 주겠다고 그 상처를 잊게 해주면 다시 생각해본다 합니다정말 사랑하는 여자라서 꼭 잡고싶거든요 어떻게 해야 할까요...도와주세요...ㅠㅠ
8,아웃룩 2007 사용시 특정 메일주소가 받자마자 사라집니다.,/qna/detail.nhn?d1id=1&dirId=102020104&docId=298551969,"안녕하세요,아웃룩 2007 사용하고 있습니다.얼마전까지만해도 거래처의 특정 이메일 주소 (hanmail 입니다.) 가 잘 들어오다가갑자기 어느순간부터 상대방이 보내면 그 메일이 받은 편지함에 들어오고보려고 더블클릭하면 사라져 버립니다. 그래서 Naver 메일로 보내라고 하니,아무 문제 없이 잘 들어옵니다. 물론 다른 이메일들은 아주 정상적으로 잘 주고 받고 있습니다.혹시 제가 모르는 사이 스팸설정이 된 걸까요? 그렇다면 어찌 해제하면 되는지 문의드립니다.혹시 다른 이유가 있다면 고수님들의 조언 부탁드리겠습니다.감사합니다."
9,삼성 노트북 사용중입니다. 어제부터 갑자기 와이파이가 안되서요. 와이파이를 잡으면 ‘연결중’ 이라고만 뜨고,/qna/detail.nhn?d1id=1&dirId=1010301&docId=298551904,삼성 노트북 사용중입니다.어제부터 갑자기 와이파이가 안되서요.와이파이를 잡으면 ‘연결중’ 이라고만 뜨고 연결을 되지 않습니다. 공유기가 문제인줄 알고 다른 곳에서도 다 해봤지만 어딜 가던 마찬가지 입니다.노트북 상의 무선랜카드 문제일까요??
10,엥 cu편의점 사라져요?,/qna/detail.nhn?d1id=1&dirId=10902&docId=298551884,"아니죠? 썡뚱맞긴 한데 어디서 들어가지구,,,사라지는거 아니죠? 내 인생편의점인데ㅠㅠㅠㅠㅠ"
